list_ecin	list_wfg	list_wfd	list_wfs	list_wfc
60.73	-3597.8	125230.84	-139491.27000000002	19529.199999999997
185.42000000000002	-7682.79	768576.74	-747024.75	10063.49
284.77	-5888.000000000001	1653498.14	-1594437.67	9024.220000000001
278.65999999999997	-43927.409999999996	2364974.8	-2257417.29	34549.33
225.64	-171771.22999999998	2784279.96	-2528197.67	-44080.509999999995
197.88	-387564.23	3182345.72	-2546245.6	-213147.03999999998
179.63	-648725.75	3539044.69	-2411349.6500000004	-424892.17
182.68	-891307.57	3953986.75	-2378506.75	-613827.87
176.70000000000002	-1198733.33	4243251.87	-2193486.0500000003	-732650.25
184.01	-1494064.6400000001	4794402.5600000005	-2327932.63	-944729.8400000001
188.59	-1809510.73	5115501.12	-2269997.78	-987196.6
189.21999999999997	-2042828.4699999997	5325352.48	-2116981.82	-1037025.4099999999
